Date,Arsenal,Bournemouth,Brighton,Burnley,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield,Leicester,Liverpool,Man City,Man Utd,Newcastle,Southampton,Spurs,Swansea,Watford,West Ham,Wolves
13/03/2019,0.963933167,0.016536882,0.353439089,0.661926623,0.903241008,0.87598045,0.284347373,0.817468308,0.288391455,0.196794483,0.324990087,0.424622682,0.789212695,0.564206432,0.240240659,0.236627887,0.04690317,0.720680337,0.876266173,0.285832702,0.775539616
14/03/2019,0.970781162,0.75501196,0.374907724,0.05834401,0.742761345,0.035522755,0.749781387,0.37575872,0.731329909,0.290280501,0.728471308,0.635282745,0.745620453,0.002245952,0.415481258,0.558753041,0.221385765,0.677840222,0.469156751,0.458647226,0.478319111
15/03/2019,0.355120905,0.595466493,0.410500372,0.351995198,0.296790901,0.190736028,0.342862966,0.254154591,0.561168414,0.380782915,0.584652016,0.731637175,0.070535708,0.02600538,0.380584067,0.792880352,0.596370301,0.125537799,0.468464022,0.879500127,0.215488267
16/03/2019,0.595933529,0.839219853,0.442100598,0.735359442,0.652141018,0.063617576,0.228575615,0.251383129,0.511199697,0.1460184,0.760567879,0.943371279,0.747289262,0.168329535,0.263507682,0.811828758,0.444123849,0.003988722,0.599995732,0.25441813,0.032164479
17/03/2019,0.331216244,0.207370955,0.387341057,0.144453803,0.06772868,0.399822138,0.849680455,0.001629227,0.108985137,0.872340941,0.137827064,0.709776263,0.594134341,0.201340713,0.508921551,0.800198344,0.907451538,0.176375195,0.80605024,0.51778263,0.430074191
18/03/2019,0.895576171,0.556238897,0.763090509,0.579939489,0.238933544,0.82938457,0.110301528,0.038476369,0.205531578,0.538815645,0.759119631,0.817633975,0.855761948,0.650739966,0.60789494,0.851810727,0.558067798,0.656735729,0.256359331,0.645012621,0.654605243
19/03/2019,0.053814651,0.845801101,0.564529201,0.19129036,0.283851029,0.211371535,0.333956169,0.982664732,0.609579554,0.012996572,0.838254111,0.784892994,0.194456252,0.05020467,0.677426502,0.672992816,0.900955645,0.715114306,0.905892196,0.762426199,0.407512009
20/03/2019,0.579715114,0.969697669,0.963407338,0.082944879,0.917813853,0.674712952,0.314787519,0.249180656,0.36144548,0.910233061,0.548263392,0.119677284,0.014014819,0.967027337,0.803307341,0.018867777,0.513661569,0.686320843,0.24060471,0.136057855,0.589770421
21/03/2019,0.337976041,0.093874456,0.656531658,0.789391346,0.853424002,0.105751558,0.966651612,0.321980958,0.606049173,0.074883016,0.533624578,0.377072703,0.71604131,0.933869718,0.293146456,0.53139518,0.96899858,0.829218702,0.231033273,0.723229672,0.312191641
22/03/2019,0.437715035,0.181061471,0.708198761,0.152958199,0.250967995,0.780002077,0.375643379,0.289619599,0.554238651,0.281608838,0.694536822,0.499915638,0.885666695,0.793492261,0.281611735,0.267686245,0.994062049,0.223551271,0.202896918,0.439553808,0.865049698
23/03/2019,0.093266667,0.084266667,0.106,0.226266667,0.134666667,0.1724,0.1374,0.1888,0.0562,0.105066667,0.054266667,0.051,0.159666667,0.102733333,0.0798,0.0995,0.163466667,0.3332,0.143866667,0.087666667,0.094933333
